"","Treatment","Day","n_recruits","sd","se","area","use","lse"
"52","DWT",60,4,0.218149863150915,0.109074931575457,1.18092917055339,1.29000410212885,1.07185423897794
"53","DWT",67,4,0.173174237644119,0.0865871188220595,1.31374874512671,1.40033586394877,1.22716162630465
"54","DWT",70,4,0.216336358569035,0.108168179284518,1.43896877782383,1.54713695710835,1.33080059853931
"55","DHE",11,3,0.0224982604385783,0.0129893767205115,0.178061880001043,0.191051256721554,0.165072503280531
"56","DHE",18,3,0.0358891500326558,0.0207206104323407,0.19281956142802,0.213540171860361,0.172098950995679
"57","DHE",24,3,0.034501805618017,0.0199196267610902,0.257173343801461,0.277092970562551,0.237253717040371
"58","DHE",38,3,0.096057662997223,0.0554589175891731,0.373642602159213,0.429101519748386,0.31818368457004
"59","DHE",46,3,0.326998708332866,0.18879279228064,0.644631997393288,0.833424789673928,0.455839205112648
"60","DHE",54,3,0.399138462635886,0.230442698846762,0.88729110459433,1.11773380344109,0.656848405747568
"61","DHE",60,3,0.464609094935724,0.268242186029089,1.119294099807,1.38753628583609,0.851051913777914
"62","DHE",67,3,0.566307945948547,0.326958045037618,1.25168416422287,1.57864220926049,0.924726119185256
"63","DHE",70,3,0.619876221584393,0.357885703395997,1.3504758698092,1.7083615732052,0.992590166413206
